country,pm25_overall_avg
Suriname,6.635228494623656
Svalbard and Jan Mayen,
Swaziland,16.502234848484846
Sweden,6.42287643678161
Switzerland,11.960355029585799
Syria,18.29336111111111
São Tomé and Príncipe,11.699285714285713
Taiwan,20.648503787878788
Tajikistan,13.60026836158192
Tanzania,17.492565789473684
Thailand,23.50419456443485
Timor-Leste,10.292466397849461
Togo,15.979572916666664
Tokelau,1.6245833333333335
Tonga,1.564318181818182
Trinidad and Tobago,4.341194444444445
Tunisia,9.337770989974937
Turkey,20.03136392177969
Turkmenistan,9.291278735632183
Turks and Caicos Islands,3.0308333333333333
Tuvalu,1.7718981481481482
Uganda,26.50081046747967
Ukraine,16.772932590233548
United Arab Emirates,16.706570512820512
United Kingdom,9.509663023679417
United States,8.485915577168369
United States Minor Outlying Islands,3.1558333333333337
Uruguay,8.422727541371158
Uzbekistan,17.3105625
Vanuatu,4.5878108465608465
Vatican City,14.849166666666667
Venezuela,13.171216715976334
Vietnam,25.933238262910795
"Virgin Islands, U.S.",2.0963541666666665
Wallis and Futuna,1.5158333333333334
Western Sahara,4.008229166666666
Yemen,14.815066516064258
Zambia,21.202539855072462
Zimbabwe,16.33852106227106
Åland,5.416826923076923
